code,name,close,open,high,low,volume,amount,marcap,shares
241710,코스메카코리아,88700,87300,94900,84500,198213,17651004950,947316000000,10680000
085660,차바이오텍,9700,10250,10510,9630,346545,3444261080,901836606200,92972846
086450,동국제약,19250,19200,20650,19130,375096,7418125000,870685585000,45230420
099320,쎄트렉아이,78000,88200,90100,77200,45080,3653537000,854199684000,10951278
293490,카카오게임즈,7910,8400,8440,7830,482573,3898977650,848310046150,107245265
038500,삼표시멘트,7860,8270,8730,7820,680158,5584198285,848222165160,107916306
036540,SFA반도체,5120,5370,5480,5020,3409380,17814280090,842036751360,164460303
083450,GST,45550,48550,50500,45500,141204,6761940225,839486500000,18430000
232140,와이씨,10080,10920,11300,10050,830107,8760231385,827017128000,82045350
100790,미래에셋벤처투자,15400,16650,17140,15390,344030,5533952090,818056901200,53120578
388210,씨엠티엑스,84700,89000,94600,82500,104666,9263233950,817730898600,9654438
417200,LS머트리얼즈,12000,12670,13280,11960,588675,7349835320,811831908000,67652659
281740,레이크머티리얼즈,12300,12850,13560,12230,356658,4563367940,808485740400,65730548
090710,휴림로봇,6670,7350,7570,6650,1700808,11941197040,797458723430,119559029
074600,원익QnC,30250,31500,33450,29850,296322,9396126225,795212000000,26288000
065350,신성델타테크,28850,30050,31000,28600,151792,4492364875,792911899800,27483948
019210,와이지-원,21300,22150,23200,21300,760084,16731324600,792226406400,37193728
122870,와이지엔터테인먼트,41750,42300,43300,41700,117691,4991727675,780351295750,18691049
056190,SFA,21500,22900,23100,21400,77693,1711257300,772038340000,35908760
388720,유일로보틱스,64400,68200,70400,63950,31112,2060958900,758718618000,11781345
252990,샘씨엔에스,12420,11850,13200,11560,1009468,12776078330,747906181380,60217889
445680,큐리옥스바이오시스템즈,43450,43000,47900,42450,122094,5464590200,747481429750,17203255
328130,루닛,9910,10840,11120,9900,413317,4240604780,737880563800,74458180
356860,티엘비,74300,76000,84500,74100,269216,21255640100,730564409000,9832630
137400,피엔티,30600,32300,33450,30400,138423,4385287600,724936276800,23690728
213420,덕산네오룩스,29150,30650,31950,29000,139480,4203092350,723828867850,24831179
189300,인텔리안테크,66400,72600,74500,66000,115547,7907145800,712969800800,10737497
014620,성광벤드,26500,27200,28200,26300,97494,2614231925,703770146000,26557364
006730,서부T&D,10890,10890,11720,10800,688330,7781477700,699975691470,64276923
041830,인바디,51600,52500,54300,47300,113847,5878070750,695613511200,13480882
035760,CJ ENM,31650,32450,33200,31450,68447,2194481350,694057724100,21929154
032190,다우데이타,18070,18990,19350,17950,92990,1728292960,692081000000,38300000
033100,제룡전기,42550,46850,47050,42350,162970,7295634850,683455502950,16062409
161580,필옵틱스,29050,31200,32600,29000,161337,4902068775,680997275350,23442247
036830,솔브레인홀딩스,32850,35850,36850,32300,92789,3160710250,673555775850,20503981
115180,큐리언트,17910,19180,19870,17300,162279,3037682515,671822027910,37511001
048410,현대바이오,6950,7260,8100,6920,1309717,9743260995,670713725400,96505572
032500,케이엠더블유,15700,17700,19450,15500,320730,5300476075,662409705700,42191701
122640,예스티,30500,31350,32800,30350,526275,16602989425,658368974000,21585868
490470,세미파이브,19300,22300,22950,19300,436115,9193547235,656690992000,34025440
094170,동운아나텍,31200,31600,32950,30350,127684,4052851975,652390003200,20909936
090360,로보스타,66500,71300,76300,65900,114765,8079725350,648375000000,9750000
253450,스튜디오드래곤,20900,22350,22750,20900,73694,1586238350,628222608200,30058498
093320,케이아이엔엑스,128600,130700,133100,128100,7877,1026352150,627568000000,4880000
466100,클로봇,24500,26900,27900,24300,168264,4316119925,623751355500,25459239
052400,코나아이,41650,44550,45500,41500,57600,2471561775,606561070150,14563291
397030,에이프릴바이오,25900,28100,29250,25800,200629,5478238750,606418093400,23413826
053800,안랩,54300,55900,56600,54000,49950,2742029800,604169275800,11126506
112040,위메이드,17670,18850,19340,17520,213363,3865466645,599869694610,33948483
045100,한양이엔지,33750,34950,35900,32500,422624,14459900400,590625000000,17500000
023160,태광,22600,24050,24700,22400,164747,3845659250,584599669200,25867242
053610,프로텍,64800,68400,71700,64700,34037,2294085750,583200000000,9000000
376900,로킷헬스케어,36700,36500,37450,32900,129536,4537731125,582568056300,15873789
050890,쏠리드,9550,10640,10840,9500,963176,9732306770,580224899700,60756534
222080,SFA넥셀,7450,8020,8270,7440,641667,5014009070,579462072800,77780144
102710,이엔에프테크놀로지,40550,42200,44700,40400,93485,3951720575,579371749800,14287836
399720,가온칩스,48800,56300,56400,48500,357250,18644136825,577735587200,11838844
225570,넥슨게임즈,8590,9000,9150,8500,100723,877007130,565738894660,65860174
064290,인텍플러스,43350,46000,47550,43350,345953,15646614475,558243006300,12877578
383310,에코프로에이치엔,26550,28950,29350,26350,206702,5720893650,556884444600,20974932
170920,엘티씨,52300,52800,58500,50300,568378,30983757600,552503789800,10564126
121600,나노신소재,45000,47500,48800,44700,58495,2707949000,551798595000,12262191
067160,SOOP,47950,48900,50100,47600,51054,2474333075,551174077650,11494767
295310,에이치브이엠,45050,46800,49550,44750,117259,5478934650,542698474050,12046581
171090,선익시스템,53400,56000,58350,53000,55937,3088090750,539480228400,10102626
041960,코미팜,7270,7630,7770,7150,188519,1406569235,537154818650,73886495
046890,서울반도체,9180,9930,10240,9120,318962,3072150190,535243572000,58305400
037460,삼지전자,32750,36100,36300,32150,162815,5483659575,534431595500,16318522
044490,태웅,26700,28800,29800,26700,103607,2905433150,534197072700,20007381
251970,펌텍코리아,42850,43850,46250,42400,59924,2652531275,531340000000,12400000
456160,지투지바이오,31650,32200,35600,31150,228272,7615370775,526321332900,16629426
376300,디어유,22050,22900,23400,21900,62853,1406041900,523431852300,23738406
059090,미코,15640,17010,17625,15640,203364,3339322055,522638407920,33416778
086900,메디톡스,71500,73800,75800,71000,24490,1803057650,521842535500,7298497
052020,에스티큐브,7610,7910,8520,7570,275042,2205262700,517352844510,67983291
060250,NHN KCP,12670,12910,13610,12600,260958,3389967080,508834941370,40160611
211050,인카금융서비스,10300,10800,11070,10290,118187,1248485970,507415667100,49263657
358570,지아이이노베이션,7860,8170,8520,7760,322992,2599532900,507095807160,64516006
102940,코오롱생명과학,38250,42500,43200,38250,56273,2264671400,500715564750,13090603
160190,하이젠알앤엠,16080,17920,19360,15750,78679,1340166135,496679040000,30888000
476060,온코닉테라퓨틱스,10920,11690,12120,10900,186989,2136828600,495853612800,45407840
126340,비나텍,68900,71600,75800,67000,184520,12937473400,494730524600,7180414
033500,동성화인텍,16490,17050,17590,16350,131423,2219427050,494526756060,29989494
336570,원텍,5440,5710,5900,5410,800667,4500859330,487318714240,89580646
033790,피노,5810,6110,7090,5810,1150776,7224537060,484100163470,83321887
056080,유진로봇,12620,13350,13930,12530,226533,2955147665,482531833320,38235486
033640,네패스,20800,21800,24600,20750,206695,4638152625,479631401600,23059202
036810,에프에스티,22050,22850,24850,21950,117848,2728069050,477377847450,21649789
101160,월덱스,28800,29350,30000,27500,97149,2783587825,475516598400,16510993
082270,젬백스,10630,11210,11750,10500,205888,2249837290,470581627890,44269203
348370,엔켐,21450,23200,24000,21150,147152,3285347325,469990799850,21910993
425420,티에프이,38000,40850,42300,37300,63644,2529952550,469192878000,12347181
330860,네패스아크,38500,39650,43950,37100,412795,16496780525,469085732500,12184045
089890,코세스,28150,35700,37700,27050,995982,32325609250,466866680300,16584962
015750,성우하이텍,5810,5960,6180,5750,307913,1820252485,464800000000,80000000
034950,한국기업평가,102300,102700,103100,100500,1515,154288100,464494582200,4540514
124500,아이티센글로벌,19890,21450,22050,19670,144433,2955987215,461538042030,23204527
278280,천보,37500,37400,38950,36500,39459,1480216900,459488437500,12253025
219130,타이거일렉,72500,72300,79000,67400,90023,6619482800,457786025000,6314290
035890,서희건설,1991,2100,2125,1965,469043,945025458,457548637887,229808457
009520,포스코엠텍,10980,11680,11990,10940,171742,1969334650,457236878940,41642703
389470,인벤티지랩,34200,36300,38350,34050,46152,1640656475,455123613600,13307708
174900,앱클론,22650,23100,25100,22450,99052,2342560025,451915721850,19952129
078130,국일제지,4005,4000,4190,3685,214388,855910351,451526050935,112740587
104830,원익머트리얼즈,35700,38050,40000,35150,149379,5525936075,450105600000,12608000
475960,토모큐브,33250,34900,36500,33250,69920,2444439750,444993860500,13383274
327260,RF머트리얼즈,49450,53000,57200,48850,230432,12029880400,444809425750,8995135
119850,지엔씨에너지,26750,27800,29500,26650,202356,5683404300,440008315750,16448909
